model,variant,split,accuracy,macro_f1
ZeroShot-LICL,ZS,test_clean,0.7891111111111111,0.7231438350876834
ZeroShot-LICL,ZS,test_noisy,0.7431111111111111,0.6808314882072088
ZeroShot-LICL,ZS,test_polluted,0.7314545454545455,0.7425027892413889
TFIDF+LR,tfidf+lr,val_clean,0.894,0.8933369737527209
TFIDF+LR,tfidf+lr,val_polluted,0.8651612903225806,0.8740516278301078
TFIDF+LR,tfidf+lr,test_clean,0.8995555555555556,0.8986619033310942
TFIDF+LR,tfidf+lr,test_noisy,0.8366666666666667,0.8364827951730337
TFIDF+LR,tfidf+lr,test_polluted,0.736,0.8143817383059418
BERT-Linear,bert-linear,val_clean,0.95,0.9496558064592048
BERT-Linear,bert-linear,val_polluted,0.9193548387096774,0.928650212887552
BERT-Linear,bert-linear,test_clean,0.9455555555555556,0.945379419624685
BERT-Linear,bert-linear,test_noisy,0.8813333333333333,0.8825317857605031
BERT-Linear,bert-linear,test_polluted,0.7736363636363637,0.8551507689960123
