text,intent
what expression would i use to say i love you if i were an italian,translate
what were use to say i you if i verbal expression an italian,translate
"can you tell me how to say 'i do not speak much spanish', in spanish",translate
"can you tell me how lots say 'i do not to spanish', spanish",translate
"what is the equivalent of, 'life is good' in french",translate
"what equivalent the live of, 'life is good' in french",translate
"tell me how to say, 'it is a beautiful morning' in italian",translate
"tell Pine Tree State how to say, 'it is a beautiful morning' italian in",translate
"if i were mongolian, how would i say that i am a tourist",translate
"if were ace mongolian, how i say that i am a tourist",translate
how do i say 'hotel' in finnish,translate
i coiffure say 'hotel' in finnish,translate
"i need you to translate the sentence, 'we will be there soon' into portuguese",translate
"i need you to leave the sentence, 'we translate be there soon' portuguese",translate
please tell me how to ask for a taxi in french,translate
please tell me how axerophthol ask for to taxi in french,translate
"can you tell me how i would say, 'more bread please' in french",translate
you can tell me how would 'more shekels please' in french,translate
what is the correct way to say 'i am a visitor' in french,translate
is the correct fashion visitor' say 'i am a to in french,translate
