model,variant,split,accuracy,macro_f1
ZeroShot-LICL,ZS,test_clean,0.7891111111111111,0.7231438350876834
ZeroShot-LICL,ZS,test_noisy,0.7431111111111111,0.6808314882072088
ZeroShot-LICL,ZS,test_polluted,0.7314545454545455,0.7425027892413889
TFIDF+LR,tfidf+lr,val_clean,0.8953333333333333,0.8946821767863957
TFIDF+LR,tfidf+lr,val_polluted,0.8664516129032258,0.8753752580387765
TFIDF+LR,tfidf+lr,test_clean,0.8991111111111111,0.8981875360402208
TFIDF+LR,tfidf+lr,test_noisy,0.8367777777777777,0.8366395802403952
TFIDF+LR,tfidf+lr,test_polluted,0.7356363636363636,0.8139933532019595
BERT-Linear,bert-linear,val_clean,0.9516666666666668,0.951377591255377
BERT-Linear,bert-linear,val_polluted,0.920967741935484,0.9303424287204594
BERT-Linear,bert-linear,test_clean,0.9433333333333334,0.9430467524475824
BERT-Linear,bert-linear,test_noisy,0.8813333333333333,0.8823412404254247
BERT-Linear,bert-linear,test_polluted,0.7718181818181818,0.8532589576761385
